,angle_of_attack,chord_length,,suction_side_displacement_thickness,,
-0.662022703,0,0.3048,1.312935258,0.00266337,0.197938763,
-0.598561347,0,0.3048,1.312935258,0.00266337,0.052934759,
-0.519234652,0,0.3048,1.312935258,0.00266337,0.161687762,
-0.408177279,0,0.3048,1.312935258,0.00266337,0.399494329,
-0.281254566,0,0.3048,1.312935258,0.00266337,0.380643808,
-0.122601176,0,0.3048,1.312935258,0.00266337,0.10658624,
0.083648232,0,0.3048,1.312935258,0.00266337,0.052934759,
0.353358996,0,0.3048,1.312935258,0.00266337,-0.257373811,
0.670665777,0,0.3048,1.312935258,0.00266337,-0.512580858,
1.083164592,0,0.3048,1.312935258,0.00266337,-0.767787906,
1.62258612,0,0.3048,1.312935258,0.00266337,-1.114347476,
2.257199682,0,0.3048,1.312935258,0.00266337,-1.369554523,
3.050466635,0,0.3048,1.312935258,0.00266337,-1.826317137,
4.161040369,0,0.3048,1.312935258,0.00266337,-2.336731232,
-0.757214738,0,0.3048,0.298007011,0.00283081,0.229114624,
-0.715964856,0,0.3048,0.298007011,0.00283081,0.414719749,
-0.662022703,0,0.3048,0.298007011,0.00283081,0.471271311,
-0.598561347,0,0.3048,0.298007011,0.00283081,0.308866826,
-0.519234652,0,0.3048,0.298007011,0.00283081,0.181263302,
-0.408177279,0,0.3048,0.298007011,0.00283081,0.311766906,
-0.281254566,0,0.3048,0.298007011,0.00283081,0.258115425,
-0.122601176,0,0.3048,0.298007011,0.00283081,-0.105844626,
0.083648232,0,0.3048,0.298007011,0.00283081,-0.23199811,
0.353358996,0,0.3048,0.298007011,0.00283081,-0.540856639,
0.670665777,0,0.3048,0.298007011,0.00283081,-0.758362645,
1.083164592,0,0.3048,0.298007011,0.00283081,-0.994719172,
1.62258612,0,0.3048,0.298007011,0.00283081,-1.212225179,
2.257199682,0,0.3048,0.298007011,0.00283081,-1.705238793,
3.050466635,0,0.3048,0.298007011,0.00283081,-1.995246802,
-0.852406772,0,0.3048,-0.723344834,0.00310138,-0.97253356,
-0.836541433,0,0.3048,-0.723344834,0.00310138,-0.799978794,
-0.815916492,0,0.3048,-0.723344834,0.00310138,-0.29826494,
-0.788945416,0,0.3048,-0.723344834,0.00310138,-0.003906811,
-0.757214738,0,0.3048,-0.723344834,0.00310138,0.307851798,
-0.715964856,0,0.3048,-0.723344834,0.00310138,0.550008485,
-0.662022703,0,0.3048,-0.723344834,0.00310138,0.618160367,
-0.598561347,0,0.3048,-0.723344834,0.00310138,0.444155562,
-0.519234652,0,0.3048,-0.723344834,0.00310138,0.096145952,
-0.408177279,0,0.3048,-0.723344834,0.00310138,-0.114109854,
-0.281254566,0,0.3048,-0.723344834,0.00310138,-0.166311296,
-0.122601176,0,0.3048,-0.723344834,0.00310138,-0.498370466,
0.083648232,0,0.3048,-0.723344834,0.00310138,-0.65497479,
0.353358996,0,0.3048,-0.723344834,0.00310138,-0.813029155,
0.670665777,0,0.3048,-0.723344834,0.00310138,-1.021834921,
1.083164592,0,0.3048,-0.723344834,0.00310138,-1.248041168,
1.62258612,0,0.3048,-0.723344834,0.00310138,-1.458296974,
2.257199682,0,0.3048,-0.723344834,0.00310138,-1.841107545,
3.050466635,0,0.3048,-0.723344834,0.00310138,-2.206517636,
-0.852406772,0,0.3048,-1.230808957,0.00331266,-1.1079673,
-0.836541433,0,0.3048,-1.230808957,0.00331266,-0.904961694,
-0.815916492,0,0.3048,-1.230808957,0.00331266,-0.300294996,
-0.788945416,0,0.3048,-1.230808957,0.00331266,0.030314134,
-0.757214738,0,0.3048,-1.230808957,0.00331266,0.359473224,
-0.715964856,0,0.3048,-1.230808957,0.00331266,0.617580351,
-0.662022703,0,0.3048,-1.230808957,0.00331266,0.637880912,
-0.598561347,0,0.3048,-1.230808957,0.00331266,0.366723424,
-0.519234652,0,0.3048,-1.230808957,0.00331266,-0.069738629,
-0.408177279,0,0.3048,-1.230808957,0.00331266,-0.358296598,
-0.281254566,0,0.3048,-1.230808957,0.00331266,-0.356846557,
-0.122601176,0,0.3048,-1.230808957,0.00331266,-0.591753044,
0.083648232,0,0.3048,-1.230808957,0.00331266,-0.826659531,
0.353358996,0,0.3048,-1.230808957,0.00331266,-0.970213495,
0.670665777,0,0.3048,-1.230808957,0.00331266,-1.332723506,
1.083164592,0,0.3048,-1.230808957,0.00331266,-1.603880994,
1.62258612,0,0.3048,-1.230808957,0.00331266,-2.076594048,
2.257199682,0,0.3048,-1.230808957,0.00331266,-2.402853057,
-0.662022703,1.5,0.3048,1.312935258,0.00336729,0.331487451,
-0.598561347,1.5,0.3048,1.312935258,0.00336729,0.167632926,
-0.519234652,1.5,0.3048,1.312935258,0.00336729,0.150232445,
-0.408177279,1.5,0.3048,1.312935258,0.00336729,0.260435489,
-0.281254566,1.5,0.3048,1.312935258,0.00336729,0.261885529,
-0.122601176,1.5,0.3048,1.312935258,0.00336729,-0.046973,
0.083648232,1.5,0.3048,1.312935258,0.00336729,-0.209377485,
0.353358996,1.5,0.3048,1.312935258,0.00336729,-0.445734012,
0.670665777,1.5,0.3048,1.312935258,0.00336729,-0.754592541,
1.083164592,1.5,0.3048,1.312935258,0.00336729,-0.973548588,
1.62258612,1.5,0.3048,1.312935258,0.00336729,-1.372309599,
2.257199682,1.5,0.3048,1.312935258,0.00336729,-1.644917127,
3.050466635,1.5,0.3048,1.312935258,0.00336729,-2.264084225,
4.161040369,1.5,0.3048,1.312935258,0.00336729,-2.646894797,
-0.815916492,1.5,0.3048,-0.723344834,0.00392107,-0.432828656,
-0.788945416,1.5,0.3048,-0.723344834,0.00392107,-0.121070047,
-0.757214738,1.5,0.3048,-0.723344834,0.00392107,0.264640605,
-0.715964856,1.5,0.3048,-0.723344834,0.00392107,0.503897212,
-0.662022703,1.5,0.3048,-0.723344834,0.00392107,0.579299294,
-0.598561347,1.5,0.3048,-0.723344834,0.00392107,0.398044289,
-0.519234652,1.5,0.3048,-0.723344834,0.00392107,0.054384799,
-0.408177279,1.5,0.3048,-0.723344834,0.00392107,-0.380627214,
-0.281254566,1.5,0.3048,-0.723344834,0.00392107,-0.396577655,
-0.122601176,1.5,0.3048,-0.723344834,0.00392107,-0.558982139,
0.083648232,1.5,0.3048,-0.723344834,0.00392107,-0.830139627,
0.353358996,1.5,0.3048,-0.723344834,0.00392107,-1.028795113,
0.670665777,1.5,0.3048,-0.723344834,0.00392107,-1.24630112,
1.083164592,1.5,0.3048,-0.723344834,0.00392107,-1.462357086,
1.62258612,1.5,0.3048,-0.723344834,0.00392107,-1.824867097,
2.257199682,1.5,0.3048,-0.723344834,0.00392107,-2.29758015,
3.050466635,1.5,0.3048,-0.723344834,0.00392107,-2.715191683,
-0.788945416,3,0.3048,1.312935258,0.00425727,0.395579221,
-0.757214738,3,0.3048,1.312935258,0.00425727,0.524632784,
-0.715964856,3,0.3048,1.312935258,0.00425727,0.655136388,
-0.662022703,3,0.3048,1.312935258,0.00425727,0.675436949,
-0.598561347,3,0.3048,1.312935258,0.00425727,0.604384987,
-0.519234652,3,0.3048,1.312935258,0.00425727,0.405729501,
-0.408177279,3,0.3048,1.312935258,0.00425727,0.243325016,
-0.281254566,3,0.3048,1.312935258,0.00425727,0.099771052,
-0.122601176,3,0.3048,1.312935258,0.00425727,-0.117734954,
0.083648232,3,0.3048,1.312935258,0.00425727,-0.481695005,
0.353358996,3,0.3048,1.312935258,0.00425727,-0.66295001,
0.670665777,3,0.3048,1.312935258,0.00425727,-0.97180854,
1.083164592,3,0.3048,1.312935258,0.00425727,-1.261816548,
1.62258612,3,0.3048,1.312935258,0.00425727,-1.479322554,
2.257199682,3,0.3048,1.312935258,0.00425727,-2.118790213,
-0.788945416,3,0.3048,0.298007011,0.00452492,0.191848595,
-0.757214738,3,0.3048,0.298007011,0.00452492,0.484756683,
-0.715964856,3,0.3048,0.298007011,0.00452492,0.686312249,
-0.662022703,3,0.3048,0.298007011,0.00452492,0.741413771,
-0.598561347,3,0.3048,0.298007011,0.00452492,0.651511288,
-0.519234652,3,0.3048,0.298007011,0.00452492,0.36150328,
-0.408177279,3,0.3048,0.298007011,0.00452492,-0.057558293,
-0.281254566,3,0.3048,0.298007011,0.00452492,-0.256213779,
-0.122601176,3,0.3048,0.298007011,0.00452492,-0.347566301,
0.083648232,3,0.3048,0.298007011,0.00452492,-0.673825311,
0.353358996,3,0.3048,0.298007011,0.00452492,-0.891331317,
0.670665777,3,0.3048,0.298007011,0.00452492,-1.091436843,
1.083164592,3,0.3048,0.298007011,0.00452492,-1.32779337,
1.62258612,3,0.3048,0.298007011,0.00452492,-1.600400898,
2.257199682,3,0.3048,0.298007011,0.00452492,-1.836757425,
-0.815916492,3,0.3048,-0.723344834,0.00495741,-0.220977806,
-0.788945416,3,0.3048,-0.723344834,0.00495741,0.092230844,
-0.757214738,3,0.3048,-0.723344834,0.00495741,0.405439493,
-0.715964856,3,0.3048,-0.723344834,0.00495741,0.64614614,
-0.662022703,3,0.3048,-0.723344834,0.00495741,0.683847181,
-0.598561347,3,0.3048,-0.723344834,0.00495741,0.504042216,
-0.519234652,3,0.3048,-0.723344834,0.00495741,0.140082165,
-0.408177279,3,0.3048,-0.723344834,0.00495741,-0.297829928,
-0.281254566,3,0.3048,-0.723344834,0.00495741,-0.624088937,
-0.122601176,3,0.3048,-0.723344834,0.00495741,-0.677740419,
0.083648232,3,0.3048,-0.723344834,0.00495741,-0.857545384,
0.353358996,3,0.3048,-0.723344834,0.00495741,-1.166403913,
0.670665777,3,0.3048,-0.723344834,0.00495741,-1.311407917,
1.083164592,3,0.3048,-0.723344834,0.00495741,-1.565164925,
1.62258612,3,0.3048,-0.723344834,0.00495741,-2.056728499,
-0.815916492,3,0.3048,-1.230808957,0.00529514,-0.249108582,
-0.788945416,3,0.3048,-1.230808957,0.00529514,0.081500547,
-0.757214738,3,0.3048,-1.230808957,0.00529514,0.393259156,
-0.715964856,3,0.3048,-1.230808957,0.00529514,0.560013761,
-0.662022703,3,0.3048,-1.230808957,0.00529514,0.561463801,
-0.598561347,3,0.3048,-1.230808957,0.00529514,0.290306313,
-0.519234652,3,0.3048,-1.230808957,0.00529514,0.000298305,
-0.408177279,3,0.3048,-1.230808957,0.00529514,-0.398462707,
-0.281254566,3,0.3048,-1.230808957,0.00529514,-0.688470715,
-0.122601176,3,0.3048,-1.230808957,0.00529514,-0.759522677,
0.083648232,3,0.3048,-1.230808957,0.00529514,-0.975578644,
0.353358996,3,0.3048,-1.230808957,0.00529514,-1.338088654,
0.670665777,3,0.3048,-1.230808957,0.00529514,-1.591845662,
1.083164592,3,0.3048,-1.230808957,0.00529514,-2.192162239,
-0.836541433,4,0.3048,1.312935258,0.00497773,0.22606954,
-0.815916492,4,0.3048,1.312935258,0.00497773,0.484176667,
-0.788945416,4,0.3048,1.312935258,0.00497773,0.687182273,
-0.757214738,4,0.3048,1.312935258,0.00497773,0.852486838,
-0.715964856,4,0.3048,1.312935258,0.00497773,0.982990442,
-0.662022703,4,0.3048,1.312935258,0.00497773,1.003291002,
-0.598561347,4,0.3048,1.312935258,0.00497773,0.895988039,
-0.519234652,4,0.3048,1.312935258,0.00497773,0.661081552,
-0.408177279,4,0.3048,1.312935258,0.00497773,0.262320541,
-0.281254566,4,0.3048,1.312935258,0.00497773,-0.063938469,
-0.122601176,4,0.3048,1.312935258,0.00497773,-0.153840952,
0.083648232,4,0.3048,1.312935258,0.00497773,-0.44384896,
0.353358996,4,0.3048,1.312935258,0.00497773,-0.76865793,
0.670665777,4,0.3048,1.312935258,0.00497773,-1.022414937,
1.083164592,4,0.3048,1.312935258,0.00497773,-1.257321424,
1.62258612,4,0.3048,1.312935258,0.00497773,-1.619831435,
2.257199682,4,0.3048,1.312935258,0.00497773,-2.020042486,
3.050466635,4,0.3048,1.312935258,0.00497773,-2.527556501,
-0.836541433,4,0.3048,-0.723344834,0.00579636,-0.187481881,
-0.815916492,4,0.3048,-0.723344834,0.00579636,0.291031334,
-0.788945416,4,0.3048,-0.723344834,0.00579636,0.550588501,
-0.757214738,4,0.3048,-0.723344834,0.00579636,0.773894668,
-0.715964856,4,0.3048,-0.723344834,0.00579636,0.904398271,
-0.662022703,4,0.3048,-0.723344834,0.00579636,0.85364687,
-0.598561347,4,0.3048,-0.723344834,0.00579636,0.563638861,
-0.519234652,4,0.3048,-0.723344834,0.00579636,0.218529331,
-0.408177279,4,0.3048,-0.723344834,0.00579636,-0.235333202,
-0.281254566,4,0.3048,-0.723344834,0.00579636,-0.561592211,
-0.122601176,4,0.3048,-0.723344834,0.00579636,-0.667445135,
0.083648232,4,0.3048,-0.723344834,0.00579636,-0.883501101,
0.353358996,4,0.3048,-0.723344834,0.00579636,-1.301112633,
0.670665777,4,0.3048,-0.723344834,0.00579636,-1.609971162,
-0.519234652,0,0.2286,1.312935258,0.00214345,0.479681543,
-0.408177279,0,0.2286,1.312935258,0.00214345,0.623235507,
-0.281254566,0,0.2286,1.312935258,0.00214345,0.494181943,
-0.122601176,0,0.2286,1.312935258,0.00214345,0.510132384,
0.083648232,0,0.2286,1.312935258,0.00214345,0.434730302,
0.353358996,0,0.2286,1.312935258,0.00214345,0.143272253,
0.670665777,0,0.2286,1.312935258,0.00214345,-0.077133833,
1.083164592,0,0.2286,1.312935258,0.00214345,-0.404842883,
1.62258612,0,0.2286,1.312935258,0.00214345,-0.98775898,
2.257199682,0,0.2286,1.312935258,0.00214345,-0.97180854,
3.050466635,0,0.2286,1.312935258,0.00214345,-1.045760582,
4.161040369,0,0.2286,1.312935258,0.00214345,-1.428571153,
5.430267493,0,0.2286,1.312935258,0.00214345,-1.502523195,
-0.815916492,0,0.2286,0.298007011,0.00229336,-0.76793291,
-0.788945416,0,0.2286,0.298007011,0.00229336,-0.460524421,
-0.757214738,0,0.2286,0.298007011,0.00229336,-0.153115932,
-0.715964856,0,0.2286,0.298007011,0.00229336,0.191993599,
-0.662022703,0,0.2286,0.298007011,0.00229336,0.390649084,
-0.598561347,0,0.2286,0.298007011,0.00229336,0.500852128,
-0.519234652,0,0.2286,0.298007011,0.00229336,0.445750606,
-0.408177279,0,0.2286,0.298007011,0.00229336,0.283346121,
-0.281254566,0,0.2286,0.298007011,0.00229336,0.24709512,
-0.122601176,0,0.2286,0.298007011,0.00229336,0.24709512,
0.083648232,0,0.2286,0.298007011,0.00229336,0.046989594,
0.353358996,0,0.2286,0.298007011,0.00229336,-0.206767413,
0.670665777,0,0.2286,0.298007011,0.00229336,-0.351771417,
1.083164592,0,0.2286,0.298007011,0.00229336,-0.931787434,
-0.815916492,0,0.2286,-0.723344834,0.00253511,-0.548251843,
-0.788945416,0,0.2286,-0.723344834,0.00253511,-0.184291792,
-0.757214738,0,0.2286,-0.723344834,0.00253511,0.197068739,
-0.715964856,0,0.2286,-0.723344834,0.00253511,0.561028789,
-0.662022703,0,0.2286,-0.723344834,0.00253511,0.778534796,
-0.598561347,0,0.2286,-0.723344834,0.00253511,0.811885717,
-0.519234652,0,0.2286,-0.723344834,0.00253511,0.661081552,
-0.408177279,0,0.2286,-0.723344834,0.00253511,0.327572343,
-0.281254566,0,0.2286,-0.723344834,0.00253511,0.068015175,
-0.122601176,0,0.2286,-0.723344834,0.00253511,0.027414054,
0.083648232,0,0.2286,-0.723344834,0.00253511,-0.030587548,
0.353358996,0,0.2286,-0.723344834,0.00253511,-0.198792193,
0.670665777,0,0.2286,-0.723344834,0.00253511,-0.385847358,
1.083164592,0,0.2286,-0.723344834,0.00253511,-1.068816218,
-0.815916492,0,0.2286,-1.230808957,0.0027238,-0.614953685,
-0.788945416,0,0.2286,-1.230808957,0.0027238,-0.174141512,
-0.757214738,0,0.2286,-1.230808957,0.0027238,0.266670661,
-0.715964856,0,0.2286,-1.230808957,0.0027238,0.671231833,
-0.662022703,0,0.2286,-1.230808957,0.0027238,0.853936878,
-0.598561347,0,0.2286,-1.230808957,0.0027238,0.835086357,
-0.519234652,0,0.2286,-1.230808957,0.0027238,0.57552919,
-0.408177279,0,0.2286,-1.230808957,0.0027238,0.114416456,
-0.281254566,0,0.2286,-1.230808957,0.0027238,-0.200242233,
-0.122601176,0,0.2286,-1.230808957,0.0027238,-0.201692273,
0.083648232,0,0.2286,-1.230808957,0.0027238,-0.201692273,
0.353358996,0,0.2286,-1.230808957,0.0027238,-0.406147919,
0.670665777,0,0.2286,-1.230808957,0.0027238,-0.628004045,
1.083164592,0,0.2286,-1.230808957,0.0027238,-1.163068821,
-0.788945416,2,0.2286,1.312935258,0.00293031,0.040609418,
-0.757214738,2,0.2286,1.312935258,0.00293031,0.239264904,
-0.715964856,2,0.2286,1.312935258,0.00293031,0.365418388,
-0.662022703,2,0.2286,1.312935258,0.00293031,0.490121831,
-0.598561347,2,0.2286,1.312935258,0.00293031,0.597424794,
-0.519234652,2,0.2286,1.312935258,0.00293031,0.577124234,
-0.408177279,2,0.2286,1.312935258,0.00293031,0.42922015,
-0.281254566,2,0.2286,1.312935258,0.00293031,0.298716546,
-0.122601176,2,0.2286,1.312935258,0.00293031,0.314666986,
0.083648232,2,0.2286,1.312935258,0.00293031,0.185613422,
0.353358996,2,0.2286,1.312935258,0.00293031,-0.108744706,
0.670665777,2,0.2286,1.312935258,0.00293031,-0.292899792,
1.083164592,2,0.2286,1.312935258,0.00293031,-0.58725792,
1.62258612,2,0.2286,1.312935258,0.00293031,-1.281827101,
2.257199682,2,0.2286,1.312935258,0.00293031,-1.703788753,
-0.788945416,2,0.2286,0.298007011,0.00313525,-0.36888189,
-0.757214738,2,0.2286,0.298007011,0.00313525,-0.02087228,
-0.715964856,2,0.2286,0.298007011,0.00313525,0.290886329,
-0.662022703,2,0.2286,0.298007011,0.00313525,0.530142937,
-0.598561347,2,0.2286,0.298007011,0.00313525,0.604094979,
-0.519234652,2,0.2286,0.298007011,0.00313525,0.569294018,
-0.408177279,2,0.2286,0.298007011,0.00313525,0.277835969,
-0.281254566,2,0.2286,0.298007011,0.00313525,-0.0324726,
-0.122601176,2,0.2286,0.298007011,0.00313525,-0.141225603,
0.083648232,2,0.2286,0.298007011,0.00313525,-0.158626084,
0.353358996,2,0.2286,0.298007011,0.00313525,-0.37758213,
0.670665777,2,0.2286,0.298007011,0.00313525,-0.632789178,
1.083164592,2,0.2286,0.298007011,0.00313525,-0.887996225,
-0.815916492,2,0.2286,-0.723344834,0.00346574,-0.681365519,
-0.788945416,2,0.2286,-0.723344834,0.00346574,-0.38990747,
-0.757214738,2,0.2286,-0.723344834,0.00346574,0.046554582,
-0.715964856,2,0.2286,-0.723344834,0.00346574,0.374263632,
-0.662022703,2,0.2286,-0.723344834,0.00346574,0.609170119,
-0.598561347,2,0.2286,-0.723344834,0.00346574,0.625120559,
-0.519234652,2,0.2286,-0.723344834,0.00346574,0.496066996,
-0.408177279,2,0.2286,-0.723344834,0.00346574,0.145157305,
-0.281254566,2,0.2286,-0.723344834,0.00346574,-0.295654868,
-0.122601176,2,0.2286,-0.723344834,0.00346574,-0.498660474,
0.083648232,2,0.2286,-0.723344834,0.00346574,-0.465309553,
0.353358996,2,0.2286,-0.723344834,0.00346574,-0.668315159,
0.670665777,2,0.2286,-0.723344834,0.00346574,-0.871320765,
1.083164592,2,0.2286,-0.723344834,0.00346574,-1.220780415,
-0.815916492,2,0.2286,-1.230808957,0.00372371,-0.679915479,
-0.788945416,2,0.2286,-1.230808957,0.00372371,-0.205752385,
-0.757214738,2,0.2286,-1.230808957,0.00372371,0.266960669,
-0.715964856,2,0.2286,-1.230808957,0.00372371,0.612070199,
-0.662022703,2,0.2286,-1.230808957,0.00372371,0.793325204,
-0.598561347,2,0.2286,-1.230808957,0.00372371,0.793325204,
-0.519234652,2,0.2286,-1.230808957,0.00372371,0.556968677,
-0.408177279,2,0.2286,-1.230808957,0.00372371,0.139357145,
-0.281254566,2,0.2286,-1.230808957,0.00372371,-0.260853907,
-0.122601176,2,0.2286,-1.230808957,0.00372371,-0.497210434,
0.083648232,2,0.2286,-1.230808957,0.00372371,-0.479809953,
0.353358996,2,0.2286,-1.230808957,0.00372371,-0.624813957,
0.670665777,2,0.2286,-1.230808957,0.00372371,-0.952523007,
1.083164592,2,0.2286,-1.230808957,0.00372371,-1.40638554,
-0.757214738,4,0.2286,1.312935258,0.00400603,0.278705993,
-0.715964856,4,0.2286,1.312935258,0.00400603,0.609315123,
-0.662022703,4,0.2286,1.312935258,0.00400603,0.84857173,
-0.598561347,4,0.2286,1.312935258,0.00400603,0.996475814,
-0.519234652,4,0.2286,1.312935258,0.00400603,0.997925854,
-0.408177279,4,0.2286,1.312935258,0.00400603,0.671666845,
-0.281254566,4,0.2286,1.312935258,0.00400603,0.200403831,
-0.122601176,4,0.2286,1.312935258,0.00400603,-0.072203697,
0.083648232,4,0.2286,1.312935258,0.00400603,-0.105554618,
0.353358996,4,0.2286,1.312935258,0.00400603,-0.450664148,
0.670665777,4,0.2286,1.312935258,0.00400603,-0.539116591,
1.083164592,4,0.2286,1.312935258,0.00400603,-0.901626601,
1.62258612,4,0.2286,1.312935258,0.00400603,-1.738299706,
2.257199682,4,0.2286,1.312935258,0.00400603,-1.700598665,
3.050466635,4,0.2286,1.312935258,0.00400603,-1.53384406,
4.161040369,4,0.2286,1.312935258,0.00400603,-1.749900026,
5.430267493,4,0.2286,1.312935258,0.00400603,-2.20376256,
-0.788945416,4,0.2286,0.298007011,0.0042862,-0.226487958,
-0.757214738,4,0.2286,0.298007011,0.0042862,0.35932822,
-0.715964856,4,0.2286,0.298007011,0.0042862,0.743588831,
-0.662022703,4,0.2286,0.298007011,0.0042862,1.019096439,
-0.598561347,4,0.2286,0.298007011,0.0042862,1.05824752,
-0.519234652,4,0.2286,0.298007011,0.0042862,0.932094036,
-0.408177279,4,0.2286,0.298007011,0.0042862,0.497082024,
-0.281254566,4,0.2286,0.298007011,0.0042862,-0.084384034,
-0.122601176,4,0.2286,0.298007011,0.0042862,-0.355541521,
0.083648232,4,0.2286,0.298007011,0.0042862,-0.354091481,
0.353358996,4,0.2286,0.298007011,0.0042862,-0.606398449,
0.670665777,4,0.2286,0.298007011,0.0042862,-0.696300931,
1.083164592,4,0.2286,0.298007011,0.0042862,-1.113912464,
1.62258612,4,0.2286,0.298007011,0.0042862,-1.785281003,
-0.815916492,4,0.2286,-0.723344834,0.00473801,-0.378017142,
-0.788945416,4,0.2286,-0.723344834,0.00473801,-0.138760535,
-0.757214738,4,0.2286,-0.723344834,0.00473801,0.319452118,
-0.715964856,4,0.2286,-0.723344834,0.00473801,0.687762289,
-0.662022703,4,0.2286,-0.723344834,0.00473801,0.816815853,
-0.598561347,4,0.2286,-0.723344834,0.00473801,0.744313851,
-0.519234652,4,0.2286,-0.723344834,0.00473801,0.507957324,
-0.408177279,4,0.2286,-0.723344834,0.00473801,0.070045231,
-0.281254566,4,0.2286,-0.723344834,0.00473801,-0.460669425,
-0.122601176,4,0.2286,-0.723344834,0.00473801,-0.752127473,
0.083648232,4,0.2286,-0.723344834,0.00473801,-0.64047439,
0.353358996,4,0.2286,-0.723344834,0.00473801,-0.823179435,
0.670665777,4,0.2286,-0.723344834,0.00473801,-1.042135482,
1.083164592,4,0.2286,-0.723344834,0.00473801,-1.535149096,
1.62258612,4,0.2286,-0.723344834,0.00473801,-1.697553581,
-0.836541433,4,0.2286,-1.230808957,0.00509068,-0.673825311,
-0.815916492,4,0.2286,-1.230808957,0.00509068,-0.177911616,
-0.788945416,4,0.2286,-1.230808957,0.00509068,0.190398555,
-0.757214738,4,0.2286,-1.230808957,0.00509068,0.594959726,
-0.715964856,4,0.2286,-1.230808957,0.00509068,0.799415372,
-0.662022703,4,0.2286,-1.230808957,0.00509068,0.874817455,
-0.598561347,4,0.2286,-1.230808957,0.00509068,0.72981345,
-0.519234652,4,0.2286,-1.230808957,0.00509068,0.476056443,
-0.408177279,4,0.2286,-1.230808957,0.00509068,0.056994871,
-0.281254566,4,0.2286,-1.230808957,0.00509068,-0.398317703,
-0.122601176,4,0.2286,-1.230808957,0.00509068,-0.670925231,
0.083648232,4,0.2286,-1.230808957,0.00509068,-0.668025151,
0.353358996,4,0.2286,-1.230808957,0.00509068,-0.866680636,
0.670665777,4,0.2286,-1.230808957,0.00509068,-1.285742209,
1.083164592,4,0.2286,-1.230808957,0.00509068,-1.759905303,
-0.788945416,5.3,0.2286,1.312935258,0.0051942,0.415299765,
-0.757214738,5.3,0.2286,1.312935258,0.0051942,0.731408494,
-0.715964856,5.3,0.2286,1.312935258,0.0051942,1.009816183,
-0.662022703,5.3,0.2286,1.312935258,0.0051942,1.25342291,
-0.598561347,5.3,0.2286,1.312935258,0.0051942,1.328824992,
-0.519234652,5.3,0.2286,1.312935258,0.0051942,1.238922509,
-0.408177279,5.3,0.2286,1.312935258,0.0051942,0.815510817,
-0.281254566,5.3,0.2286,1.312935258,0.0051942,0.152842517,
-0.122601176,5.3,0.2286,1.312935258,0.0051942,-0.158916092,
0.083648232,5.3,0.2286,1.312935258,0.0051942,-0.248818574,
0.353358996,5.3,0.2286,1.312935258,0.0051942,-0.653379746,
0.670665777,5.3,0.2286,1.312935258,0.0051942,-0.983988876,
1.083164592,5.3,0.2286,1.312935258,0.0051942,-1.147843401,
1.62258612,5.3,0.2286,1.312935258,0.0051942,-1.440751489,
2.257199682,5.3,0.2286,1.312935258,0.0051942,-1.955515704,
-0.836541433,5.3,0.2286,-0.723344834,0.00614329,0.315392006,
-0.815916492,5.3,0.2286,-0.723344834,0.00614329,0.704002738,
-0.788945416,5.3,0.2286,-0.723344834,0.00614329,0.925858864,
-0.757214738,5.3,0.2286,-0.723344834,0.00614329,1.075212988,
-0.715964856,5.3,0.2286,-0.723344834,0.00614329,1.040412027,
-0.662022703,5.3,0.2286,-0.723344834,0.00614329,0.675001937,
